name,oldest,refs,ts_count,youngest
Blackford,Ordovician,"2, 3, 12, 114, 401",0.0,Ordovician
Day Point,Ordovician,"2, 3, 12, 39, 401",0.0,Ordovician
Väo,Ordovician,"2, 3, 9, 12, 21, 401",0.0,Ordovician
Guindo Shales,Ordovician,"2, 3, 12, 313, 401",0.0,Ordovician
Meadowtown,Ordovician,"2, 3, 12, 92, 401",0.0,Ordovician
Bellewstown,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Castell Limestone,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Coronea,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Noblehouse Lava,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Red Island,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Kirensko-Kudrinian,Ordovician,"2, 3, 12, 27, 401",0.0,Ordovician
Volginian,Ordovician,"2, 3, 12, 399, 401",0.0,Ordovician
Antelope Valley Limestone Leptellina,Ordovician,"2, 3, 12, 160, 401",0.0,Ordovician
Antelope Valley Limestone Sowerbyella,Ordovician,"2, 3, 12, 160, 401",0.0,Ordovician
Kerarvail,Ordovician,"2, 3, 12, 238, 401",0.0,Ordovician
First Bani,Ordovician,"2, 3, 12, 249, 401",0.0,Ordovician
Bou-Zeroual,Ordovician,"2, 3, 12, 238, 401",0.0,Ordovician
Guezzart,Ordovician,"2, 3, 12, 238, 401",0.0,Ordovician
Morgat,Ordovician,"2, 3, 12, 238, 401",0.0,Ordovician
Ouine-Inirne,Ordovician,"2, 3, 12, 238, 401",0.0,Ordovician
Taddrist,Ordovician,"2, 3, 12, 238, 401",0.0,Ordovician
Gap Creek,Ordovician,"2, 3, 12, 71, 401",0.0,Ordovician
Kirenskian-Kudrinian,Ordovician,"2, 3, 12, 399, 401",0.0,Ordovician
Anrakhai,Ordovician,"2, 3, 12, 345, 401",0.0,Ordovician
Fetzer,Ordovician,"2, 3, 12, 65, 401",0.0,Ordovician
Whitesburg,Ordovician,"2, 3, 12, 65, 401",0.0,Ordovician
Laval Lower,Ordovician,"2, 3, 12, 51, 401",0.0,Ordovician
Pratt Ferry,Ordovician,"2, 3, 12, 44, 401",0.0,Ordovician
Ballast Chert,Ordovician,"2, 3, 12, 132, 401",0.0,Ordovician
Billabong Creek Limestone,Ordovician,"2, 3, 12, 132, 401",0.0,Ordovician
Narooma Chert,Ordovician,"2, 3, 12, 132, 401",0.0,Ordovician
Nattery Chert,Ordovician,"2, 3, 12, 132, 401",0.0,Ordovician
Wahringa Limestone,Ordovician,"2, 3, 12, 132, 401",0.0,Ordovician
Watonga,Ordovician,"2, 3, 12, 132, 401",0.0,Ordovician
Klimoli Upper,Ordovician,"2, 3, 12, 55, 401",0.0,Ordovician
Volgin,Ordovician,"2, 3, 12, 346, 401",0.0,Ordovician
Valim,Ordovician,"2, 3, 12, 350, 401",0.0,Ordovician
Skövde,Ordovician,"2, 3, 9, 12, 21, 401",0.0,Ordovician
Källa Limestone,Ordovician,"2, 3, 12, 343, 401",0.0,Ordovician
Gullhögen,Ordovician,"2, 3, 9, 12, 401",0.0,Ordovician
Pizzaras Guindo,Ordovician,"2, 3, 12, 366, 401",0.0,Ordovician
Pizarras de Navalaceite,Ordovician,"2, 3, 12, 366, 401",0.0,Ordovician
Pizarras de Valmosillo,Ordovician,"2, 3, 12, 366, 401",0.0,Ordovician
Porogi,Ordovician,"2, 3, 12, 350, 401",0.0,Ordovician
Guido Shales,Ordovician,"2, 3, 12, 282, 401",0.0,Ordovician
Angir,Ordovician,"2, 3, 12, 335, 399, 401",0.0,Ordovician
Pärsnäs Limestone,Ordovician,"2, 3, 12, 36, 401",0.0,Ordovician
Mednikovo,Ordovician,"2, 3, 12, 243, 401",0.0,Ordovician
Vel'cy,Ordovician,"2, 3, 12, 243, 401",0.0,Ordovician
Cyathochitina regnelli,Ordovician,"2, 3, 9, 12, 401",0.0,Ordovician
Eoplacognathus variabilis,Ordovician,"2, 3, 12, 401",0.0,Ordovician
Histiodella holodentata,Ordovician,"2, 3, 12, 84, 401",0.0,Ordovician
Hyalochitina protocalix,Ordovician,"2, 3, 12, 321, 401",0.0,Ordovician
Levisograptus dentatus,Ordovician,"2, 3, 12, 16, 401",0.0,Ordovician
Undulograptus intersitus,Ordovician,"2, 3, 12, 401",0.0,Ordovician
Lenodus variabilis,Ordovician,"2, 3, 9, 12, 84, 401",0.0,Ordovician
Kunda,Ordovician,"2, 3, 9, 12, 401",0.0,Ordovician
Valaste,Ordovician,"2, 3, 12, 401",0.0,Ordovician
Holen Limestone,Ordovician,"2, 3, 9, 11, 12, 33, 401",0.0,Ordovician
Lehman,Ordovician,"2, 3, 12, 84, 401",0.0,Ordovician
Asaphus expansus,Ordovician,"2, 3, 12, 16, 401",0.0,Ordovician
Cyathochitina calyx - protocalix,Ordovician,"2, 3, 12, 400, 401",0.0,Ordovician
Yangtzeplacognathus crassus,Ordovician,"2, 3, 9, 12, 401",0.0,Ordovician
Expansograptus balhaschensis/ Expansograptus kirgisicus,Ordovician,"2, 3, 12, 329, 400, 401",0.0,Ordovician
Undulograptus dentatus,Ordovician,"2, 3, 12, 329, 400, 401",0.0,Ordovician
Sivorthis noctilio,Ordovician,"2, 3, 12, 321, 401",0.0,Ordovician
Asaphus raniceps,Ordovician,"2, 3, 12, 16, 401",0.0,Ordovician
Expansograptus kirgisicus,Ordovician,"2, 3, 12, 346, 401",0.0,Ordovician
Phragmodus primus,Ordovician,"2, 3, 12, 346, 401",0.0,Ordovician
Amorphognathus variabilis,Ordovician,"2, 3, 12, 372, 401",0.0,Ordovician
Yijianfang,Ordovician,"2, 3, 12, 57, 401",0.0,Ordovician
Gualcamayo,Ordovician,"2, 3, 12, 93, 100, 401",0.0,Ordovician
Sakyna,Ordovician,"2, 3, 9, 12, 21, 401",0.0,Ordovician
Oil Creek,Ordovician,"2, 3, 12, 113, 401",0.0,Ordovician
Baldone,Ordovician,"2, 3, 9, 12, 401",0.0,Ordovician
Loobu,Ordovician,"2, 3, 9, 12, 401",0.0,Ordovician
Vihorevian,Ordovician,"2, 3, 12, 107, 401",0.0,Ordovician
Kostinsky,Ordovician,"2, 3, 12, 281, 401",0.0,Ordovician
Green Sandstone,Ordovician,"2, 3, 12, 42, 401",0.0,Ordovician
Ship Point Member C,Ordovician,"2, 3, 12, 42, 401",0.0,Ordovician
Burgen,Ordovician,"2, 3, 12, 88, 401",0.0,Ordovician
Jasper,Ordovician,"2, 3, 12, 88, 401",0.0,Ordovician
Zhuozishan,Ordovician,"2, 3, 12, 55, 380, 401",0.0,Ordovician
Table Point,Ordovician,"2, 3, 4, 12, 104, 401",0.0,Ordovician
Beianzhuang,Ordovician,"2, 3, 12, 381, 401",0.0,Ordovician
Goldwyer,Ordovician,"2, 3, 12, 220, 401",0.0,Ordovician
Nora,Ordovician,"2, 3, 12, 220, 401",0.0,Ordovician
Stairway Sandstone,Ordovician,"2, 3, 12, 215, 401",0.0,Ordovician
Corey,Ordovician,"2, 3, 12, 365, 401",0.0,Ordovician
Table Head,Ordovician,"2, 3, 12, 112, 401",0.0,Ordovician
Darriwilian 2,Ordovician,"2, 3, 12, 401",0.0,Ordovician
Täljsten,Ordovician,"2, 3, 12, 392, 401",0.0,Ordovician
Obukhovo,Ordovician,"2, 3, 12, 350, 401",0.0,Ordovician
Rognstranda,Ordovician,"2, 3, 12, 29, 401",0.0,Ordovician
Uzunbulak,Ordovician,"2, 3, 12, 370, 401",0.0,Ordovician
Likhall,Ordovician,"2, 3, 12, 392, 401",0.0,Ordovician
Los Azules Middle,Ordovician,"2, 3, 12, 294, 401",0.0,Ordovician
Wiatrowiec Limestone,Ordovician,"2, 3, 12, 38, 401",0.0,Ordovician
466.72,Ordovician,"2, 3, 12, 392, 401",0.0,Ordovician
467.78,Ordovician,"2, 3, 12, 392, 401",0.0,Ordovician
Nommeveski,Ordovician,"2, 3, 8, 12, 401",0.0,Ordovician
Utria,Ordovician,"2, 3, 8, 12, 401",0.0,Ordovician
Voka,Ordovician,"2, 3, 8, 12, 401",0.0,Ordovician
Endoceratid Limestone,Ordovician,"2, 3, 12, 29, 401",0.0,Ordovician
Etasje 3cγ,Ordovician,"2, 3, 12, 28, 401",0.0,Ordovician
Dw2,Ordovician,"2, 3, 12, 13, 84, 401",0.0,Ordovician
Acrograptus ellesae,Ordovician,"2, 3, 12, 401",0.0,Ordovician
Conochitina turgida / Conochitina subcylindrica,Ordovician,"2, 3, 12, 401",0.0,Ordovician
Cyathochitina calix,Ordovician,"2, 3, 12, 321, 401",0.0,Ordovician
Didymograptus artus,Ordovician,"2, 3, 12, 401",0.0,Ordovician
Eoplacognathus suecicus,Ordovician,"2, 3, 9, 12, 401",0.0,Ordovician
Holmograptus lentus,Ordovician,"2, 3, 12, 401",0.0,Ordovician
Siphonochitina formosa,Ordovician,"2, 3, 12, 400, 401",0.0,Ordovician
Aluoja,Ordovician,"2, 3, 12, 401",0.0,Ordovician
Watson Ranch,Ordovician,"2, 3, 12, 84, 401",0.0,Ordovician
Eoplacognathus pseudoplanus,Ordovician,"2, 3, 9, 12, 16, 401",0.0,Ordovician
Coleodus mirabilis,Ordovician,"2, 3, 12, 27, 401",0.0,Ordovician
Histiodella bellburnensis,Ordovician,"2, 3, 12, 380, 401",0.0,Ordovician
Histiodella kristinae,Ordovician,"2, 3, 12, 380, 401",0.0,Ordovician
Didymograptus geminus / Expansograptus jakovlevi / Amplexograptus coelatus,Ordovician,"2, 3, 12, 329, 400, 401",0.0,Ordovician
pre-flexuosus,Ordovician,"2, 3, 12, 191, 401",0.0,Ordovician
Pygodus anitae,Ordovician,"2, 3, 12, 382, 401",0.0,Ordovician
Pygodus magnus,Ordovician,"2, 3, 12, 382, 401",0.0,Ordovician
Laufeldochitina striata,Ordovician,"2, 3, 9, 12, 401",0.0,Ordovician
Periodon zgierzensis,Ordovician,"2, 3, 12, 380, 401",0.0,Ordovician
Carillon,Ordovician,"2, 3, 12, 51, 401",0.0,Ordovician
Pakri,Ordovician,"2, 3, 9, 12, 14, 401",0.0,Ordovician
Svartodden,Ordovician,"2, 3, 12, 28, 401",0.0,Ordovician
Brittstown,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Cregennen,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Glenummera,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Hill of Slane,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Hilltown,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Hope Shale,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Rosroe,Ordovician,"2, 3, 12, 124, 401",0.0,Ordovician
Vikhorevian,Ordovician,"2, 3, 12, 27, 401",0.0,Ordovician
Helskjer,Ordovician,"2, 3, 12, 29, 104, 401",0.0,Ordovician
