name,oldest,youngest,ts_count,refs,rule
Kukruse,Sa1,Sa1,0.0,"17, 2, 12, 9",2.0
Upper Dobrotivian,Dw3,Sa1,1.0,"2, 321",2.0
Whiterockian,Dp1,Sa1,6.0,"12, 2",2.0
BC4,Dw3,Sa1,1.0,9,2.0
Dreimani,Sa1,Sa1,0.0,9,2.0
Pihla,Sa1,Sa1,0.0,9,2.0
Viivikonna,Sa1,Sa1,0.0,9,2.0
Lowville,Sa1,Sa1,0.0,17,2.0
Pamela,Sa1,Sa1,0.0,17,2.0
Vollen,Sa1,Sa1,0.0,17,2.0
Dobrotivá,Dw3,Sa1,1.0,271,2.0
Beke,Sa1,Sa1,0.0,67,2.0
Kreshchenka,Sa1,Sa1,0.0,67,2.0
Sarydzhaz,Sa1,Sa1,0.0,67,2.0
Bugryshikha,Dw3,Sa1,1.0,281,2.0
Loka Upper,Hi1,Hi2,1.0,17,2.0
Kosovian,Hi1,Hi2,1.0,"271, 2",2.0
Porkuni,Hi1,Hi2,1.0,"12, 2",2.0
Vale da Ursa,Hi2,Hi2,0.0,396,2.0
Glisstjärn,Hi2,Hi2,0.0,"17, 20, 9",2.0
BC17,Hi2,Hi2,0.0,9,2.0
Saldus,Hi2,Hi2,0.0,9,2.0
Plöcken,Hi1,Hi2,1.0,41,2.0
Solvik,Hi1,Hi2,1.0,17,2.0
Kosov,Hi1,Hi2,1.0,271,2.0
Becscie,Hi1,Hi2,1.0,46,2.0
MDICE,Dw2,Dw3,1.0,17,2.0
Abereiddian,Dw2,Dw3,1.0,"12, 2",2.0
Kunda,Dw2,Dw2,0.0,"12, 2, 9",2.0
Llanvirn,Dw2,Dw3,1.0,2,2.0
Lower Oretanian,Dw2,Dw2,0.0,"2, 321",2.0
Oeland,Tr1,Dw2,10.0,2,2.0
Oretanian,Dw2,Dw3,1.0,"271, 2",2.0
Vikhorevian,Dw2,Dw2,0.0,2,2.0
Oretanian Upper,Dw3,Dw3,0.0,"2, 321",2.0
Capillas,Dw1,Dw3,2.0,272,2.0
Aseri,Dw3,Dw3,0.0,"12, 2, 9",2.0
Baldone,Dw2,Dw2,0.0,9,2.0
BC2,Dw2,Dw2,0.0,9,2.0
Holen Limestone,Dw1,Dw2,1.0,"33, 9",2.0
Kandle,Dw2,Dw2,0.0,9,2.0
Loobu,Dw2,Dw2,0.0,9,2.0
Mid Darriwilian isotope carbon excursion,Dw2,Dw3,1.0,9,2.0
Pakri,Dw2,Dw2,0.0,9,2.0
Segerstad Limestone,Dw2,Dw2,0.0,"9, 33",2.0
Skärlöv,Dw2,Dw3,1.0,9,2.0
Stirnas,Dw2,Dw3,1.0,9,2.0
Vämb,Dw2,Dw3,1.0,9,2.0
Lehman,Dw1,Dw2,1.0,84,2.0
Watson Ranch,Dw1,Dw2,1.0,84,2.0
Sarka,Dw1,Dw3,2.0,271,2.0
BIII_beta,Dw2,Dw2,0.0,236,2.0
BIII_gamma,Dw2,Dw2,0.0,236,2.0
Karakol'-Mikhailovsk,Dw1,Dw2,1.0,236,2.0
Yunoyag,Dw1,Dw2,1.0,236,2.0
Karasu,Dp3,Dw3,3.0,281,2.0
Kostinsky,Dw2,Dw2,0.0,281,2.0
Voskresenka,Fl1,Dw2,7.0,281,2.0
Kirensko-Kudrinian,Dw3,Dw3,0.0,2,2.0
Lasnamägi,Dw3,Dw3,0.0,"12, 2, 9",2.0
Llandeilian,Dw3,Dw3,0.0,"12, 2",2.0
Lower Dobrotivian,Dw3,Dw3,0.0,"2, 321",2.0
Mukteian,Dw3,Dw3,0.0,2,2.0
Uhaku,Dw3,Dw3,0.0,"17, 2, 12, 9",2.0
Volginian,Dw3,Dw3,0.0,2,2.0
BC3,Dw3,Dw3,0.0,9,2.0
Folkeslunda,Dw3,Dw3,0.0,9,2.0
Gullhögen,Dw3,Dw3,0.0,9,2.0
